USERID,date,hour,poweramount,price
8878,01-Jan-2019,00:00:00,3.03,3.72
8878,01-Jan-2019,04:00:00,3.03,3.72
8878,01-Jan-2019,08:00:00,4.54,3.72
8878,01-Jan-2019,12:00:00,4.54,3.72
8878,01-Jan-2019,16:00:00,7.57,3.72
8878,01-Jan-2019,20:00:00,7.57,3.72
8878,02-Jan-2019,00:00:00,2.89,3.01
8878,02-Jan-2019,04:00:00,2.89,3.01
8878,02-Jan-2019,08:00:00,4.34,3.01
8878,02-Jan-2019,12:00:00,4.34,3.01
8878,02-Jan-2019,16:00:00,7.23,3.01
8878,02-Jan-2019,20:00:00,7.23,3.01
8878,03-Jan-2019,00:00:00,2.91,3.09
8878,03-Jan-2019,04:00:00,2.91,3.09
8878,03-Jan-2019,08:00:00,4.36,3.09
8878,03-Jan-2019,12:00:00,4.36,3.09
8878,03-Jan-2019,16:00:00,7.27,3.09
8878,03-Jan-2019,20:00:00,7.27,3.09
8878,04-Jan-2019,00:00:00,3.11,4.12
8878,04-Jan-2019,04:00:00,3.11,4.12
8878,04-Jan-2019,08:00:00,4.66,4.12
8878,04-Jan-2019,12:00:00,4.66,4.12
8878,04-Jan-2019,16:00:00,7.77,4.12
8878,04-Jan-2019,20:00:00,7.77,4.12
8878,05-Jan-2019,00:00:00,2.97,3.40
8878,05-Jan-2019,04:00:00,2.97,3.40
8878,05-Jan-2019,08:00:00,4.45,3.40
8878,05-Jan-2019,12:00:00,4.45,3.40
8878,05-Jan-2019,16:00:00,7.42,3.40
8878,05-Jan-2019,20:00:00,7.42,3.40
8878,06-Jan-2019,00:00:00,2.96,3.35
8878,06-Jan-2019,04:00:00,2.96,3.35
8878,06-Jan-2019,08:00:00,4.44,3.35
8878,06-Jan-2019,12:00:00,4.44,3.35
8878,06-Jan-2019,16:00:00,7.39,3.35
8878,06-Jan-2019,20:00:00,7.39,3.35
8878,07-Jan-2019,00:00:00,3.12,4.17
8878,07-Jan-2019,04:00:00,3.12,4.17
8878,07-Jan-2019,08:00:00,4.67,4.17
8878,07-Jan-2019,12:00:00,4.67,4.17
8878,07-Jan-2019,16:00:00,7.79,4.17
8878,07-Jan-2019,20:00:00,7.79,4.17
8878,08-Jan-2019,00:00:00,3.08,3.98
8878,08-Jan-2019,04:00:00,3.08,3.98
8878,08-Jan-2019,08:00:00,4.62,3.98
8878,08-Jan-2019,12:00:00,4.62,3.98
8878,08-Jan-2019,16:00:00,7.70,3.98
8878,08-Jan-2019,20:00:00,7.70,3.98
8878,09-Jan-2019,00:00:00,3.04,3.79
8878,09-Jan-2019,04:00:00,3.04,3.79
8878,09-Jan-2019,08:00:00,4.56,3.79
8878,09-Jan-2019,12:00:00,4.56,3.79
8878,09-Jan-2019,16:00:00,7.61,3.79
8878,09-Jan-2019,20:00:00,7.61,3.79
8878,10-Jan-2019,00:00:00,3.17,4.44
8878,10-Jan-2019,04:00:00,3.17,4.44
8878,10-Jan-2019,08:00:00,4.75,4.44
8878,10-Jan-2019,12:00:00,4.75,4.44
8878,10-Jan-2019,16:00:00,7.92,4.44
8878,10-Jan-2019,20:00:00,7.92,4.44
8878,11-Jan-2019,00:00:00,2.97,3.42
8878,11-Jan-2019,04:00:00,2.97,3.42
8878,11-Jan-2019,08:00:00,4.46,3.42
8878,11-Jan-2019,12:00:00,4.46,3.42
8878,11-Jan-2019,16:00:00,7.43,3.42
8878,11-Jan-2019,20:00:00,7.43,3.42
8878,12-Jan-2019,00:00:00,3.17,4.46
8878,12-Jan-2019,04:00:00,3.17,4.46
8878,12-Jan-2019,08:00:00,4.76,4.46
8878,12-Jan-2019,12:00:00,4.76,4.46
8878,12-Jan-2019,16:00:00,7.93,4.46
8878,12-Jan-2019,20:00:00,7.93,4.46
8878,13-Jan-2019,00:00:00,3.11,4.15
8878,13-Jan-2019,04:00:00,3.11,4.15
8878,13-Jan-2019,08:00:00,4.67,4.15
